"countyfip","rfrnc_yr","rfrnc_qtroy","qwi_emptotal","qwi_payroll"
35009,1995,3,16480,50472033
35009,1995,4,16394,62204046
35009,1996,1,15601,57714567
35009,1996,2,16459,62178413
35009,1996,3,16849,55655853
35009,1996,4,17052,65666228
35009,1997,1,15949,59996297
35009,1997,2,16754,65864465
35009,1997,3,16743,58590887
35009,1997,4,15736,65133233
35009,1998,1,15247,60817778
35009,1998,2,16464,68610181
35009,1998,3,16420,61786283
35009,1998,4,16458,71428927
35009,1999,1,15515,62399765
35009,1999,2,16435,70479660
35009,1999,3,16342,62124036
35009,1999,4,15969,73435361
35009,2000,1,15652,66511178
35009,2000,2,17010,76885574
35009,2000,3,16796,64010014
35009,2000,4,16555,73838970
35009,2001,1,16250,70526639
35009,2001,2,17984,81218830
35009,2001,3,18013,69554239
35009,2001,4,17839,83364461
35009,2002,1,17286,76579955
35009,2002,2,18321,86499252
35009,2002,3,18716,75686279
35009,2002,4,18742,91522683
35009,2003,1,18188,82431104
35009,2003,2,19218,94464820
35009,2003,3,19737,83056366
35009,2003,4,20010,100235044
35009,2004,1,18087,83363795
35009,2004,2,19305,94831132
35009,2004,3,19637,86443380
35009,2004,4,19936,103457748
35009,2005,1,19434,93790894
35009,2005,2,20099,105198871
35009,2005,3,19934,97000457
35009,2005,4,19949,106405812
35009,2006,1,19640,104869217
35009,2006,2,19246,99533355
35009,2006,3,20191,106164228
35009,2006,4,20241,119872648
35009,2007,1,19790,107265268
35009,2007,2,20787,118453353
35009,2007,3,20117,110214297
35009,2007,4,20694,118530253
35009,2008,1,20140,117577011
35009,2008,2,21525,125452257
35009,2008,3,20655,116150788
35009,2008,4,20709,128423476
35009,2009,1,19564,118577115
35009,2009,2,19472,119719970
35009,2009,3,19296,114997255
35009,2009,4,20595,138888344
35009,2010,1,19468,119202725
35009,2010,2,20319,127766172
35009,2010,3,20123,119789195
35009,2010,4,19847,135720076
35009,2011,1,19776,123222301
35009,2011,2,20416,135030860
35009,2011,3,19866,128081540
35009,2011,4,20566,139151533
35009,2012,1,20395,135846868
35009,2012,2,21155,145861460
35009,2012,3,20576,130783246
35009,2012,4,21195,151983516
35009,2013,1,19878,134010629
35009,2013,2,20489,144585147
35009,2013,3,20111,130872316
35009,2013,4,20446,144585991
35009,2014,1,20055,138357042
35009,2014,2,20783,148135064
35009,2014,3,20364,135366055
35009,2014,4,20891,154511596
35009,2015,1,20336,144663118
35009,2015,2,21017,154375207
35009,2015,3,20035,134496858
35009,2015,4,22340,162597031
35009,2016,1,19478,140135330
35009,2016,2,20123,152970064
35009,2016,3,19519,143961363
35009,2016,4,20176,157199334
35009,2017,1,19431,154298941
35009,2017,2,20127,155195888
35009,2017,3,19328,140755545
35009,2017,4,19512,152699789
35009,2018,1,19169,149172139
35009,2018,2,19730,150333715
35009,2018,3,19173,140367543
35009,2018,4,19359,153320949
35009,2019,1,18809,151371020
35009,2019,2,20258,156882675
35009,2019,3,19892,151399782
35009,2019,4,19928,161991318
35009,2020,1,19809,163800106
